Year,Album,Artist,Win,Song,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Explicit
2020,norman fucking rockwell!,Lana Del Rey,0,Doin' Time,0.649,0.538,-11.196,0.0519,0.372,0.00632,0.0951,0.496,144.979,202192,TRUE
2020,norman fucking rockwell!,Lana Del Rey,0,Love song,0.374,0.0694,-16.529,0.0392,0.965,0.000368,0.0807,0.241,134.238,229325,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,Cinnamon Girl,0.292,0.334,-10.679,0.0378,0.839,0.345,0.151,0.148,67.836,300683,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,How to disappear,0.326,0.303,-11.802,0.047,0.565,0.000655,0.161,0.0677,78.888,228071,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,California,0.439,0.412,-8.096,0.0327,0.793,0,0.0469,0.179,122.933,305899,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,The Next Best American Record,0.387,0.352,-9.77,0.0353,0.624,3.81e-05,0.112,0.113,107.892,349347,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,The greatest,0.414,0.23,-12.379,0.0406,0.942,0.0167,0.173,0.192,78.494,300360,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,Bartender,0.582,0.109,-14.67,0.0396,0.93,0,0.167,0.507,131.713,263441,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,Happiness is a butterfly,0.456,0.126,-10.883,0.0444,0.966,1.77e-06,0.107,0.162,68.614,272485,FALSE
2020,norman fucking rockwell!,Lana Del Rey,0,hope is a dangerous thing for a woman like me to have - but I have it,0.461,0.102,-13.05,0.0897,0.967,2.1e-06,0.164,0.259,71.835,324498,TRUE
2020,"thank u, next",Ariana Grande,0,imagine,0.729,0.475,-4.985,0.0364,0.378,0,0.12,0.371,62.52,212266,TRUE
2020,"thank u, next",Ariana Grande,0,needy,0.647,0.309,-7.948,0.0366,0.78,7.41e-06,0.202,0.195,87.045,171573,TRUE
2020,"thank u, next",Ariana Grande,0,NASA,0.747,0.458,-6.891,0.303,0.451,0,0.252,0.47,75.029,182000,FALSE
2020,"thank u, next",Ariana Grande,0,bloodline,0.758,0.665,-5.188,0.0774,0.0815,0.000157,0.216,0.643,151.976,216893,TRUE
2020,"thank u, next",Ariana Grande,0,fake smile,0.45,0.619,-7.412,0.372,0.329,0,0.319,0.427,83.3,208880,TRUE
2020,"thank u, next",Ariana Grande,0,bad idea,0.847,0.579,-5.314,0.0719,0.0268,0.0545,0.102,0.569,137.998,267106,FALSE
2020,"thank u, next",Ariana Grande,0,make up,0.671,0.714,-5.373,0.21,0.0844,1.48e-06,0.0568,0.477,105.137,140693,TRUE
2020,"thank u, next",Ariana Grande,0,ghostin,0.287,0.364,-8.295,0.0306,0.418,1.8e-05,0.185,0.11,103.777,271466,FALSE
2020,"thank u, next",Ariana Grande,0,in my head,0.662,0.6,-6.402,0.0703,0.173,0.000137,0.109,0.331,134.979,222946,TRUE
2020,"thank u, next",Ariana Grande,0,7 rings,0.778,0.317,-10.732,0.334,0.592,0,0.0881,0.327,140.048,178626,TRUE
2020,"thank u, next",Ariana Grande,0,"thank u, next",0.717,0.653,-5.634,0.0658,0.229,0,0.101,0.412,106.966,207320,TRUE
2020,"thank u, next",Ariana Grande,0,"break up with your girlfriend, i'm bored",0.726,0.554,-5.29,0.0917,0.0421,0,0.106,0.335,169.999,190440,TRUE
2020,"thank u, next",Ariana Grande,0,imagine,0.727,0.48,-4.929,0.0434,0.347,0,0.108,0.363,62.574,212266,FALSE
2020,"thank u, next",Ariana Grande,0,needy,0.638,0.315,-8.061,0.0323,0.808,1.08e-05,0.211,0.202,87.012,171573,FALSE
2020,"thank u, next",Ariana Grande,0,NASA,0.737,0.461,-6.887,0.293,0.447,0,0.268,0.481,75.005,182000,FALSE
2020,"thank u, next",Ariana Grande,0,bloodline,0.761,0.654,-5.191,0.0923,0.0701,0.000102,0.208,0.633,75.987,216893,FALSE
2020,"thank u, next",Ariana Grande,0,fake smile,0.438,0.629,-7.445,0.397,0.361,0,0.315,0.407,78.378,208880,FALSE
2020,"thank u, next",Ariana Grande,0,bad idea,0.847,0.58,-5.316,0.0723,0.0276,0.0548,0.1,0.575,137.995,267106,FALSE
2020,"thank u, next",Ariana Grande,0,make up,0.439,0.728,-5.405,0.277,0.0849,0,0.0623,0.427,47.644,140693,FALSE
2020,"thank u, next",Ariana Grande,0,ghostin,0.396,0.358,-8.294,0.0292,0.422,1.71e-05,0.19,0.111,103.807,271466,FALSE
2020,"thank u, next",Ariana Grande,0,in my head,0.631,0.607,-6.439,0.071,0.163,6.72e-05,0.108,0.354,134.854,222946,FALSE
2020,"thank u, next",Ariana Grande,0,7 rings,0.78,0.321,-10.747,0.371,0.559,0,0.0881,0.316,139.961,178626,FALSE
2020,"thank u, next",Ariana Grande,0,"thank u, next",0.743,0.662,-5.745,0.0534,0.268,1.36e-06,0.102,0.408,107.027,207320,FALSE
2020,"thank u, next",Ariana Grande,0,"break up with your girlfriend, i'm bored",0.723,0.563,-5.26,0.0795,0.0361,0,0.0873,0.329,170.004,190440,FALSE
2020,i used to know her,H.E.R.,0,Lost Souls (feat. DJ Scratch),0.76,0.794,-6.351,0.316,0.148,0,0.123,0.837,94.934,151666,FALSE
2020,i used to know her,H.E.R.,0,Fate,0.461,0.504,-6.789,0.0482,0.677,0,0.125,0.197,70.791,194333,FALSE
2020,i used to know her,H.E.R.,0,Carried Away,0.698,0.642,-7.477,0.0658,0.213,0.0162,0.105,0.53,157.905,221973,FALSE
2020,i used to know her,H.E.R.,0,Going (Full),0.646,0.468,-9.261,0.0604,0.618,0.000448,0.156,0.367,119.914,172973,FALSE
2020,i used to know her,H.E.R.,0,Be On My Way (Full),0.491,0.29,-12.267,0.0673,0.806,0.000166,0.258,0.17,72.738,157906,FALSE
2020,i used to know her,H.E.R.,0,Can't Help Me,0.636,0.521,-9.745,0.33,0.413,0.00934,0.0794,0.604,177.794,174026,FALSE
2020,i used to know her,H.E.R.,0,Something Keeps Pulling Me Back,0.497,0.427,-11.984,0.238,0.37,0.0117,0.217,0.181,155.645,184986,FALSE
2020,i used to know her,H.E.R.,0,Feel A Way,0.572,0.564,-8.474,0.0926,0.0805,0.0213,0.193,0.409,74.981,208053,FALSE
2020,i used to know her,H.E.R.,0,21,0.598,0.722,-8.194,0.407,0.486,0,0.309,0.535,79.888,195200,FALSE
2020,i used to know her,H.E.R.,0,Racks (feat. YBN Cordae),0.714,0.59,-6.161,0.0517,0.107,0,0.202,0.61,115.004,221386,FALSE
2020,i used to know her,H.E.R.,0,I'm Not OK,0.455,0.39,-11.889,0.0765,0.871,1.68e-05,0.0958,0.158,102.536,205880,FALSE
2020,i used to know her,H.E.R.,0,Against Me,0.477,0.344,-11.695,0.387,0.379,0,0.146,0.0827,46.566,270720,TRUE
2020,i used to know her,H.E.R.,0,Could've Been (feat. Bryson Tiller),0.455,0.352,-11.733,0.25,0.654,3.72e-06,0.249,0.407,103.342,252746,FALSE
2020,i used to know her,H.E.R.,0,Good To Me,0.634,0.212,-14.897,0.11,0.572,5.71e-06,0.101,0.315,125.979,430106,FALSE
2020,i used to know her,H.E.R.,0,Take You There,0.319,0.305,-12.444,0.0498,0.885,7.21e-05,0.0839,0.255,75.815,243306,FALSE
2020,i used to know her,H.E.R.,0,As I Am,0.444,0.567,-8.188,0.247,0.0818,1.36e-06,0.225,0.172,83.661,240120,FALSE
2020,i used to know her,H.E.R.,0,Hard Place - Single Version,0.61,0.765,-4.095,0.0966,0.122,1.69e-05,0.318,0.439,160.046,212840,FALSE
2020,i used to know her,H.E.R.,0,Uninvited - Live From Apple Music Up Next,0.285,0.454,-5.746,0.0316,0.845,7.06e-06,0.106,0.396,137.121,223733,FALSE
2020,i used to know her,H.E.R.,0,Lord Is Coming (feat. YBN Cordae),0.684,0.445,-9.292,0.224,0.635,0,0.0914,0.381,83.988,369013,FALSE
2020,7,Lil Nas X,0,We Don't Know (Where We Are Going),0.509,0.36,-13.018,0.0307,0.656,0.00713,0.124,0.374,136.455,215931,FALSE
2020,7,Lil Nas X,0,New York City,0.566,0.296,-13.22,0.0329,0.794,8.89e-06,0.204,0.329,139.674,210384,FALSE
2020,7,Lil Nas X,0,Chickadees (And Sipping Tea),0.64,0.275,-12.793,0.0337,0.39,1.64e-05,0.157,0.377,134.387,231680,FALSE
2020,7,Lil Nas X,0,Betty-Oh-Beautiful,0.698,0.566,-8.835,0.0656,0.149,3.3e-06,0.103,0.779,137.071,221346,FALSE
2020,7,Lil Nas X,0,Gloucester Harbor Shore,0.298,0.246,-13.506,0.0346,0.957,4.72e-05,0.121,0.309,137.277,254565,FALSE
2020,7,Lil Nas X,0,Father,0.643,0.484,-9.074,0.033,0.775,0.000161,0.136,0.398,125.709,245702,FALSE
2020,7,Lil Nas X,0,You Will Never Know,0.511,0.294,-13.724,0.0274,0.759,2.26e-05,0.0842,0.409,109.446,267366,FALSE
2020,7,Lil Nas X,0,Puncture Wound,0.607,0.276,-13.648,0.0434,0.821,0.000194,0.112,0.291,123.844,304861,FALSE
2020,7,Lil Nas X,0,Salt of the Sea,0.586,0.292,-10.58,0.0358,0.585,0,0.0989,0.175,105.572,299364,FALSE
2020,7,Lil Nas X,0,The Book of Dorothy,0.572,0.369,-11.364,0.0303,0.491,4.08e-05,0.159,0.337,126.286,148369,FALSE
2020,7,Lil Nas X,0,"Goodnight, Irene",0.409,0.237,-15.53,0.0328,0.847,1.17e-05,0.213,0.357,143.171,159165,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Cuz I Love You,0.566,0.66,-4.039,0.0479,0.0156,0,0.234,0.52,162.159,179978,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Like a Girl,0.694,0.807,-3.183,0.0888,0.0167,0,0.547,0.797,144.031,184857,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Juice,0.767,0.889,-2.988,0.0963,0.00611,0,0.402,0.843,119.93,195144,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Soulmate,0.693,0.849,-4.517,0.0892,0.00466,0.00127,0.503,0.767,99.021,175234,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Jerome,0.674,0.542,-6.983,0.253,0.0476,0,0.0682,0.534,150.979,231570,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Crybaby,0.623,0.719,-3.331,0.0403,0.0383,0,0.247,0.722,131.027,175952,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Tempo (feat. Missy Elliott),0.833,0.722,-5.563,0.136,0.0573,1.14e-05,0.358,0.588,107.019,175342,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Exactly How I Feel (feat. Gucci Mane),0.872,0.718,-3.238,0.229,0.114,0,0.333,0.833,112.981,143190,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Better in Color,0.702,0.928,-2.039,0.199,0.0353,3.02e-06,0.192,0.556,129.894,133058,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Heaven Help Me,0.67,0.725,-6.373,0.0972,0.0164,0,0.353,0.161,117.194,202321,TRUE
2020,cuz i love you (deluxe),Lizzo,0,Lingerie,0.681,0.488,-5.314,0.152,0.215,0.000766,0.11,0.628,132.077,201618,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Cuz I Love You,0.565,0.659,-4.057,0.0489,0.0159,0,0.235,0.519,162.178,180954,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Like a Girl,0.696,0.813,-3.042,0.074,0.012,0,0.339,0.806,144.019,185338,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Juice,0.766,0.885,-3.001,0.102,0.00666,0,0.348,0.831,119.908,194935,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Soulmate,0.702,0.845,-4.854,0.0841,0.00485,0.000371,0.343,0.773,99.016,176036,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Tempo (feat. Missy Elliott),0.826,0.739,-5.641,0.138,0.0594,1.13e-05,0.357,0.636,107.007,175987,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Exactly How I Feel (feat. Gucci Mane),0.863,0.728,-3.332,0.24,0.108,0,0.439,0.845,112.95,143564,FALSE
2020,cuz i love you (deluxe),Lizzo,0,Heaven Help Me,0.49,0.787,-5.136,0.117,0.0202,0,0.354,0.165,116.27,202537,FALSE
2020,father of the bride,Vampire Weekend,0,Hold You Now (feat. Danielle Haim),0.284,0.457,-9.239,0.0382,0.0817,0,0.413,0.293,86.88,153786,FALSE
2020,father of the bride,Vampire Weekend,0,Harmony Hall,0.653,0.76,-6.086,0.0479,0.475,0.000129,0.0998,0.6,98.008,308413,FALSE
2020,father of the bride,Vampire Weekend,0,Bambina,0.511,0.538,-6.185,0.124,0.266,0.000187,0.203,0.425,148.648,102680,FALSE
2020,father of the bride,Vampire Weekend,0,This Life,0.62,0.712,-6.434,0.1,0.228,3.39e-06,0.0561,0.83,170.234,268600,FALSE
2020,father of the bride,Vampire Weekend,0,Big Blue,0.693,0.307,-9.649,0.0626,0.818,0.00789,0.1,0.412,150.061,108573,FALSE
2020,father of the bride,Vampire Weekend,0,How Long?,0.866,0.392,-7.488,0.0418,0.523,0.000254,0.127,0.732,104.01,212240,FALSE
2020,father of the bride,Vampire Weekend,0,Unbearably White,0.531,0.422,-7.081,0.0571,0.219,0.0198,0.0608,0.579,188.056,280200,FALSE
2020,father of the bride,Vampire Weekend,0,Rich Man,0.499,0.397,-9.957,0.0675,0.795,0.00138,0.129,0.187,176.12,149986,FALSE
2020,father of the bride,Vampire Weekend,0,Married in a Gold Rush (feat. Danielle Haim),0.733,0.439,-8.109,0.0942,0.829,0.000213,0.139,0.686,104.882,222373,FALSE
2020,father of the bride,Vampire Weekend,0,My Mistake,0.522,0.326,-11.17,0.0652,0.847,0.0279,0.366,0.108,79.79,198960,FALSE
2020,father of the bride,Vampire Weekend,0,Sympathy,0.708,0.777,-5.507,0.0568,0.0199,0.0023,0.193,0.661,119.968,226733,FALSE
2020,father of the bride,Vampire Weekend,0,Sunflower (feat. Steve Lacy),0.863,0.576,-5.756,0.0565,0.406,0.00824,0.139,0.933,100.034,137600,FALSE
2020,father of the bride,Vampire Weekend,0,Flower Moon (feat. Steve Lacy),0.726,0.759,-7.151,0.0614,0.529,0.00068,0.15,0.393,110.05,237346,FALSE
2020,father of the bride,Vampire Weekend,0,2021,0.821,0.287,-7,0.0443,0.863,0.00149,0.0962,0.469,73.794,98653,FALSE
2020,father of the bride,Vampire Weekend,0,We Belong Together (feat. Danielle Haim),0.679,0.568,-6.452,0.0249,0.429,0,0.263,0.601,82.998,190733,FALSE
2020,father of the bride,Vampire Weekend,0,Stranger,0.487,0.586,-6.365,0.0781,0.431,0.000128,0.128,0.525,81.258,248946,FALSE
2020,father of the bride,Vampire Weekend,0,Spring Snow,0.815,0.579,-9.742,0.045,0.754,0.219,0.153,0.607,118.045,161466,FALSE
2020,father of the bride,Vampire Weekend,0,"Jerusalem, New York, Berlin",0.562,0.199,-10.4,0.0574,0.917,0,0.229,0.4,134.039,174653,FALSE
2020,father of the bride,Vampire Weekend,0,Houston Dubai (Japanese Bonus Track),0.775,0.716,-6.292,0.0449,0.169,3.6e-06,0.111,0.673,98.05,139280,FALSE
2020,father of the bride,Vampire Weekend,0,I Don't Think Much About Her No More (Japanese Bonus Track),0.537,0.231,-15.32,0.034,0.927,0.015,0.122,0.222,110.064,168893,FALSE
2020,father of the bride,Vampire Weekend,0,Lord Ullin's Daughter feat. Jude Law (Japanese Bonus Track),0.427,0.493,-14.61,0.403,0.948,0.00227,0.102,0.448,70.212,218346,FALSE
2020,father of the bride,Vampire Weekend,0,Harmony Hall,0.653,0.76,-6.086,0.0479,0.475,0.000129,0.0917,0.6,98.008,308733,FALSE
2020,father of the bride,Vampire Weekend,0,Big Blue,0.691,0.306,-9.65,0.0631,0.818,0.00798,0.0992,0.413,149.965,108573,FALSE
2020,father of the bride,Vampire Weekend,0,How Long?,0.864,0.39,-7.438,0.0392,0.502,4.81e-05,0.127,0.811,103.948,212253,FALSE
2020,father of the bride,Vampire Weekend,0,Sunflower (feat. Steve Lacy),0.863,0.576,-5.691,0.0567,0.406,0.00824,0.141,0.932,100.03,137600,FALSE
2020,father of the bride,Vampire Weekend,0,2021,0.815,0.284,-7.057,0.0427,0.867,0.00105,0.0987,0.449,73.785,98346,FALSE
2010,fearless,Taylor Swift,1,Fearless,0.598,0.705,-4.394,0.0275,0.037,0,0.304,0.433,100.019,242826,FALSE
2010,fearless,Taylor Swift,1,Fifteen,0.56,0.636,-4.453,0.0262,0.0602,0,0.148,0.209,95.431,294880,FALSE
2010,fearless,Taylor Swift,1,Love Story,0.622,0.637,-5.401,0.0289,0.021,0.000144,0.189,0.291,119.054,234213,FALSE
2010,fearless,Taylor Swift,1,Hey Stephen,0.843,0.555,-7.359,0.0316,0.177,1.34e-06,0.0977,0.815,116.001,254826,FALSE
2010,fearless,Taylor Swift,1,White Horse,0.578,0.349,-8.025,0.0257,0.318,0,0.1,0.247,92.354,234906,FALSE
2010,fearless,Taylor Swift,1,You Belong With Me,0.688,0.765,-4.451,0.0387,0.16,1.78e-05,0.103,0.431,129.967,231453,FALSE
2010,fearless,Taylor Swift,1,Breathe,0.491,0.479,-7.396,0.0269,0.395,0,0.122,0.16,148.305,264373,FALSE
2010,fearless,Taylor Swift,1,Tell Me Why,0.606,0.85,-3.057,0.038,0.0689,2.96e-06,0.363,0.512,99.978,200906,FALSE
2010,fearless,Taylor Swift,1,You're Not Sorry,0.467,0.456,-4.155,0.0271,0.158,0,0.111,0.252,134.059,262173,FALSE
2010,fearless,Taylor Swift,1,The Way I Loved You,0.433,0.723,-3.751,0.0352,0.0345,0,0.125,0.406,160.92,244573,FALSE
2010,fearless,Taylor Swift,1,Forever & Always,0.607,0.826,-4.989,0.0584,0.0767,0,0.104,0.501,128.048,225786,FALSE
2010,fearless,Taylor Swift,1,The Best Day,0.667,0.447,-8.572,0.0285,0.637,4.65e-06,0.138,0.36,126.189,245666,FALSE
2010,fearless,Taylor Swift,1,Change,0.536,0.768,-4.157,0.0361,0.00454,0,0.106,0.237,95.996,280333,FALSE
2010,fearless,Taylor Swift,1,Our Song,0.504,0.7,-4.826,0.0326,0.00623,1.24e-06,0.342,0.63,177.822,200200,FALSE
2010,fearless,Taylor Swift,1,Teardrops On My Guitar,0.513,0.547,-6.289,0.0257,0.017,0.00637,0.117,0.154,99.942,194720,FALSE
2010,fearless,Taylor Swift,1,Should've Said No,0.4,0.762,-4.411,0.039,0.00588,9.59e-05,0.277,0.437,168.137,244333,FALSE
2010,fearless,Taylor Swift,1,Beautiful Eyes,0.529,0.7,-3.303,0.026,0.383,0,0.0967,0.372,96.019,179240,FALSE
2010,fearless,Taylor Swift,1,Picture To Burn - Radio Edit,0.661,0.859,-2.445,0.0315,0.0803,0,0.0926,0.802,105.583,173333,FALSE
2010,fearless,Taylor Swift,1,I'm Only Me When I'm With You,0.557,0.935,-3.694,0.0675,0.00498,0.000611,0.101,0.543,143.997,214320,FALSE
2010,fearless,Taylor Swift,1,I Heart?,0.706,0.818,-3.335,0.0267,0.0472,0,0.327,0.64,105.995,197346,FALSE
2010,fearless,Taylor Swift,1,Fearless,0.403,0.699,-4.412,0.0352,0.0393,0,0.303,0.448,200.056,243400,FALSE
2010,fearless,Taylor Swift,1,Fifteen,0.558,0.634,-4.437,0.0267,0.0665,0,0.145,0.208,95.349,295213,FALSE
2010,fearless,Taylor Swift,1,Love Story,0.618,0.637,-5.412,0.0289,0.0198,7.99e-05,0.169,0.269,119.056,234706,FALSE
2010,fearless,Taylor Swift,1,Hey Stephen,0.841,0.543,-7.338,0.0315,0.181,2.24e-06,0.0903,0.827,115.994,256053,FALSE
2010,fearless,Taylor Swift,1,White Horse,0.582,0.334,-8.035,0.026,0.272,0,0.102,0.231,92.71,235426,FALSE
2010,fearless,Taylor Swift,1,You Belong With Me,0.69,0.774,-4.467,0.039,0.17,1.64e-05,0.102,0.414,129.98,232120,FALSE
2010,fearless,Taylor Swift,1,Breathe,0.487,0.476,-7.385,0.0279,0.388,0,0.135,0.156,147.913,264973,FALSE
2010,fearless,Taylor Swift,1,Tell Me Why,0.607,0.854,-3.079,0.0386,0.0667,2.75e-06,0.356,0.492,99.989,201506,FALSE
2010,fearless,Taylor Swift,1,You're Not Sorry,0.469,0.46,-4.098,0.0273,0.141,1.39e-06,0.113,0.302,133.956,263240,FALSE
2010,fearless,Taylor Swift,1,The Way I Loved You,0.434,0.719,-3.715,0.0331,0.0393,0,0.113,0.419,160.92,245400,FALSE
2010,fearless,Taylor Swift,1,Forever & Always,0.603,0.811,-4.98,0.0532,0.0883,0,0.101,0.529,128.007,226333,FALSE
2010,fearless,Taylor Swift,1,The Best Day,0.668,0.448,-8.566,0.0286,0.639,4.06e-06,0.14,0.383,126.074,246320,FALSE
2010,fearless,Taylor Swift,1,Change,0.547,0.763,-4.206,0.0375,0.00418,0,0.107,0.231,96.018,280293,FALSE
2010,fearless,Taylor Swift,1,Our Song,0.522,0.691,-4.825,0.0307,0.00609,0,0.249,0.651,177.865,201106,FALSE
2010,fearless,Taylor Swift,1,Teardrops On My Guitar,0.514,0.554,-6.338,0.0258,0.0174,0.00572,0.118,0.171,99.947,194653,FALSE
2010,fearless,Taylor Swift,1,Should've Said No,0.405,0.758,-4.385,0.0376,0.00585,0.00029,0.246,0.444,168.077,245826,FALSE
2010,fearless,Taylor Swift,1,Love Story - J Stax Radio Mix,0.696,0.827,-6.464,0.0313,0.00664,0.0031,0.297,0.324,127.997,221800,FALSE
2010,fearless,Taylor Swift,1,Fearless,0.594,0.712,-4.418,0.0273,0.04,0,0.309,0.476,99.972,241986,FALSE
2010,fearless,Taylor Swift,1,Fifteen,0.556,0.651,-4.396,0.0266,0.067,0,0.145,0.203,95.485,294333,FALSE
2010,fearless,Taylor Swift,1,Love Story,0.618,0.741,-3.95,0.031,0.17,0,0.0822,0.296,118.984,235266,FALSE
2010,fearless,Taylor Swift,1,Hey Stephen,0.841,0.544,-7.347,0.0309,0.194,2.48e-06,0.108,0.831,115.994,254306,FALSE
2010,fearless,Taylor Swift,1,White Horse,0.578,0.34,-8.027,0.0264,0.305,0,0.104,0.223,92.702,234426,FALSE
2010,fearless,Taylor Swift,1,You Belong With Me,0.687,0.783,-4.44,0.0386,0.162,1.35e-05,0.114,0.443,129.964,231133,FALSE
2010,fearless,Taylor Swift,1,Breathe,0.505,0.482,-7.372,0.0276,0.379,0,0.113,0.184,73.975,263973,FALSE
2010,fearless,Taylor Swift,1,Tell Me Why,0.604,0.855,-3.097,0.038,0.0571,3.65e-06,0.343,0.51,99.96,200546,FALSE
2010,fearless,Taylor Swift,1,You're Not Sorry,0.475,0.452,-4.134,0.027,0.146,1.36e-06,0.108,0.276,133.959,261786,FALSE
